PERSON_ID,DISPLAY_FIRST_LAST,BIRTHDATE,AGE,JERSEY,TEAM_NAME,POSITION,DRAFT_NUMBER,DRAFT_YEAR,TEAM_CONFERENCE,HEADSHOT
greenaj01,A.J. Green,27/09/1999,26,20.0,Bucks,Guard,Undrafted,Undrafted,East,https://cdn.nba.com/headshots/nba/latest/1040x760/1631260.png
lawsoaj01,A.J. Lawson,15/07/2000,25,0.0,Raptors,Guard,Undrafted,Undrafted,East,https://cdn.nba.com/headshots/nba/latest/1040x760/1630639.png
johnsaj01,AJ Johnson,01/12/2004,21,5.0,Wizards,Guard,23,2024,East,https://cdn.nba.com/headshots/nba/latest/1040x760/1642358.png
gordoaa01,Aaron Gordon,16/09/1995,30,32.0,Nuggets,Forward,4,2014,West,https://cdn.nba.com/headshots/nba/latest/1040x760/203932.png
holidaa01,Aaron Holiday,30/09/1996,29,0.0,Rockets,Guard,23,2018,West,https://cdn.nba.com/headshots/nba/latest/1040x760/1628988.png
nesmiaa01,Aaron Nesmith,16/10/1999,26,23.0,Pacers,Forward,14,2020,East,https://cdn.nba.com/headshots/nba/latest/1040x760/1630174.png
wiggiaa01,Aaron Wiggins,02/01/1999,27,21.0,Thunder,Guard,55,2021,West,https://cdn.nba.com/headshots/nba/latest/1040x760/1630598.png
flaglad01,Adam Flagler,01/12/1999,26,14.0,Thunder,Guard,Undrafted,Undrafted,West,https://cdn.nba.com/headshots/nba/latest/1040x760/1641745.png
sanogad01,Adama Sanogo,12/02/2002,24,21.0,Bulls,Center,Undrafted,Undrafted,East,https://cdn.nba.com/headshots/nba/latest/1040x760/1641766.png
bonaad01,Adem Bona,28/03/2003,22,30.0,76ers,Center,41,2024,East,https://cdn.nba.com/headshots/nba/latest/1040x760/1641737.png
mitchaj01,Ajay Mitchell,25/06/2002,23,25.0,Thunder,Guard,38,2024,West,https://cdn.nba.com/headshots/nba/latest/1040x760/1642349.png
horfoal01,Al Horford,03/06/1986,39,42.0,Celtics,Center,3,2007,East,https://cdn.nba.com/headshots/nba/latest/1040x760/201143.png
burksal01,Alec Burks,20/07/1991,34,18.0,Heat,Guard,12,2011,East,https://cdn.nba.com/headshots/nba/latest/1040x760/202692.png
