PERSON_ID,DISPLAY_FIRST_LAST,BIRTHDATE,Age,JERSEY,TEAM_NAME,POSITION,DRAFT_NUMBER,TEAM_CONFERENCE,HEADSHOT
1630639,A.J. Lawson,15-Jul-2000,23,9,Mavericks,Guard,Undrafted,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630639.png
203932,Aaron Gordon,16-Sep-1995,27,50,Nuggets,Forward,4,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203932.png
1628988,Aaron Holiday,30-Sep-1996,26,3,Rockets,Guard,23,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628988.png
1630174,Aaron Nesmith,16-Oct-1999,23,23,Pacers,Guard-Forward,14,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630174.png
1630598,Aaron Wiggins,2-Jan-1999,24,21,Thunder,Guard,55,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630598.png
1629678,Admiral Schofield,30-Mar-1997,26,25,Magic,Forward,42,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629678.png
1631260,AJ Green,27-Sep-1999,23,20,Bucks,Guard,Undrafted,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631260.png
1631100,AJ Griffin,25-Aug-2003,20,14,Hawks,Forward,16,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631100.png
201143,Al Horford,3-Jun-1986,37,42,Celtics,Center-Forward,3,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201143.png
202692,Alec Burks,20-Jul-1991,32,5,Pistons,Guard,12,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202692.png
1630197,Aleksej Pokusevski,26-Dec-2001,21,17,Thunder,Forward,17,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630197.png
1627936,Alex Caruso,28-Feb-1994,29,6,Bulls,Guard,Undrafted,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627936.png
203458,Alex Len,16-Jun-1993,30,25,Kings,Center,5,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203458.png
1631214,Alondes Williams,19-Jun-1999,24,31,Heat,Guard,Undrafted,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631214.png
1630578,Alperen Sengun,25-Jul-2002,21,28,Rockets,Center,16,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630578.png
1629599,Amir Coffey,17-Jun-1997,26,7,Clippers,Guard-Forward,Undrafted,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629599.png
203083,Andre Drummond,10-Aug-1993,30,3,Bulls,Center,9,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203083.png
2738,Andre Iguodala,28-Jan-1984,39,9,Warriors,Guard-Forward,9,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2738.png
1629614,Andrew Nembhard,16-Jan-2000,23,2,Pacers,Guard-Forward,31,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629614.png
203952,Andrew Wiggins,23-Feb-1995,28,22,Warriors,Forward,1,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203952.png
1629014,Anfernee Simons,8-Jun-1999,24,1,Trail Blazers,Guard,24,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629014.png
203076,Anthony Davis,11-Mar-1993,30,3,Lakers,Forward-Center,1,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203076.png
1630162,Anthony Edwards,5-Aug-2001,22,1,Timberwolves,Guard,1,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630162.png
1630264,Anthony Gill,17-Oct-1992,30,16,Wizards,Forward,Undrafted,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630264.png
1630237,Anthony Lamb,20-Jan-1998,25,40,Warriors,Forward,Undrafted,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630237.png
1630559,Austin Reaves,29-May-1998,25,15,Lakers,Guard,Undrafted,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630559.png
